[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    width = 1
    "θ" = 0
    r = 0

        [setup.suns.color]
        r = 0
        g = 1
        b = 0

[experiment]
datetime = 2023-12-05T11:10:24.559Z

ms,x,y,θ,start1,stop1,red1,green1,blue1
946,,,,1,1,0,255,0
15250,261.3275343145585,344.4214521712054,0.713022104279896,1,1,0,255,0
15308,264.5039912892271,343.50663806893186,0.7234694096325737,1,1,0,255,0
15339,264.7647486200597,344.40447782505964,0.7270302781276817,1,1,0,255,0
15443,265.6559053712207,340.1369254854647,0.7633057146881125,1,1,0,255,0
15646,263.311924884371,327.63409333493746,1.011300678552965,1,1,0,255,0
15677,261.15860844381643,325.3785128294301,0.9999806085100161,1,1,0,255,0
15779,255.61056064644026,319.4443327601104,1.039752680169766,1,1,0,255,0
15809,254.12663981425996,317.4429741962953,1.0733888854312217,1,1,0,255,0
15842,253.31521536563002,317.7273865900352,1.2167259340026768,1,1,0,255,0
15877,252.41288721845225,319.12299553309686,1.4299324531510595,1,1,0,255,0
15979,252.6127599429612,317.49680708540507,1.767984687555569,1,1,0,255,0
16078,255.99596272234754,316.7215045943676,1.9979376246001816,1,1,0,255,0
16109,257.27131672895774,314.5916145466997,2.0265960853977862,1,1,0,255,0
16141,258.37000649401523,313.189787784185,2.0604450552101463,1,1,0,255,0
16177,259.51115726339293,312.4451470269846,2.0975785423508295,1,1,0,255,0
16210,260.78939285946944,312.5164401145315,2.156987113499569,1,1,0,255,0
16242,261.14280430477334,313.2542149350422,2.232385013774673,1,1,0,255,0
16278,260.4269511522397,313.33971930666667,2.346181072886039,1,1,0,255,0
16379,253.1618605665998,310.585456426365,2.8679509180801612,1,1,0,255,0
16443,247.36222984774105,307.9504794336482,3.130290634660118,1,1,0,255,0
16510,244.18843159500625,305.484342706992,-2.9607672984481685,1,1,0,255,0
16542,242.97479887577862,304.63263412699257,-2.8845771355440477,1,1,0,255,0
16578,242.2263907248147,303.96725499489094,-2.790083213068167,1,1,0,255,0
16610,242.5144319395018,303.1685266569481,-2.685262380456336,1,1,0,255,0
