[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    width = 1
    "θ" = 0
    r = 0

        [setup.suns.color]
        r = 1
        g = 0
        b = 0
    [[setup.suns]]
    link_factor = 0
    width = 1
    "θ" = 1.5707963267948966
    r = 0

        [setup.suns.color]
        r = 0
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = 0
    width = 1
    "θ" = 3.141592653589793
    r = 0

        [setup.suns.color]
        r = 0
        g = 0
        b = 1

[experiment]
datetime = 2023-12-05T11:10:50.418Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2,start3,stop3,red3,green3,blue3
4,234.74327941317827,300.52870920871123,-2.9762546680056023,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
11,234.48072538466303,300.61225937200686,-3.01675653077646,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
46,234.27385438116968,300.0783168831623,-3.0879659852266426,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
79,234.5479489832073,299.4165203329804,3.0779727385275892,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
113,234.09529178037062,299.44624651498793,2.939949268081835,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
149,233.54019900910143,299.30884568218715,2.8133772134879873,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
181,233.57007536922876,299.12950104697995,2.7012883479685192,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
213,234.20894498949858,297.7680291186361,2.5346484862697958,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
249,234.8631899889797,296.4246075914632,2.335811905190103,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
281,235.03909160068642,296.0290796286473,2.1579788988650295,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
313,234.80916651994465,295.90857933871973,2.025279008237785,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
349,234.96582710347005,295.5020435315673,1.9126266947325767,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
381,235.53744107053154,294.71392204992674,1.8053068908207615,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
411,235.9232754535121,293.88058292143,1.6911471484257452,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
450,236.1460985383686,293.4796325591562,1.5612556092475414,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
478,237.3096144424427,292.8230290110847,1.4203532707310071,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
513,238.34870704450285,291.7332866801387,1.3095131814974066,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
545,238.63666961813496,291.37591862994935,1.2117073506126967,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
581,238.718761807717,291.8228208846249,1.1900421966859422,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
614,239.39305759981315,291.56379464289773,1.1381283709718615,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
645,240.06522220790507,291.0909950303542,1.0945300633148207,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
682,240.34265995776963,290.8573095221134,1.0583431584442495,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
714,240.2100631865982,290.6091381751296,1.014075512357664,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
745,240.31501104701383,290.01922604334953,0.9664847012810663,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
778,240.47282278005866,289.9265743850133,0.9778607246737946,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
813,240.87181385632962,290.32085468436037,1.071213974700052,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
846,240.23042289863767,292.3470025697603,1.2259831337541591,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
881,239.5725510604958,293.4806317996295,1.3292052558150411,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
914,239.3264876742828,293.68389119227345,1.4114811516663364,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
945,238.91213414497645,293.3730449898909,1.4618645728898039,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
981,238.58923587032706,293.29295855007354,1.525271663315308,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1013,238.1928342039969,294.90617567493143,1.6250969000286037,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1045,237.82322515699082,296.697132356295,1.790004129439241,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1081,236.91233233124245,298.5533313926412,2.0146271444627786,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1113,235.84283666962546,300.11784370633126,2.2485600292447896,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1146,235.3621677004171,301.42002189803145,2.4795684872214045,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1182,234.54009546278547,303.48543858783023,2.804392351457964,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1213,233.71616583578302,304.43136286694323,-3.1121875212916796,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1246,233.35269852847807,306.3484666150829,-2.7207027844179064,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1281,232.53198312026782,307.73077716048624,-2.4349272249062777,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1312,232.59233251258178,307.850842115627,-2.3172955611190353,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1345,232.7659348499847,308.25962832969594,-2.2071994878942647,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1380,232.93452442416583,308.4583138694554,-2.147841495961346,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1413,233.1053638346648,308.3278166702496,-2.1076456844916986,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1446,233.31499656008742,308.1264414677814,-2.096598584916932,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1482,233.59223909627414,308.3631220927416,-2.0987385952547846,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1513,233.9205151040431,308.156464887625,-2.114675062746454,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1545,234.26284560762124,307.45637191973117,-2.1419419323322306,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1582,234.51842380070372,306.3776615695432,-2.211109304496607,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1613,234.49629299158113,304.83277146724095,-2.354950464151427,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1645,234.59895986001322,304.36518140985226,-2.4618534472724845,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1681,235.2335026977468,303.76927452321854,-2.5562348609551697,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1714,236.29823361795238,303.0909453841078,-2.719200519345243,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1745,236.61045869586584,302.95161371717654,-2.839857815124722,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1782,236.96403183889072,302.70634586337144,-2.979450783346312,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1814,237.43909855691086,302.6928384585275,-3.117797371021997,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1846,237.7045928130015,302.5405510683829,3.01505079868879,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1882,238.4494358846199,302.9313069808828,2.8492701733594785,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1914,238.64092632013106,303.33602306533527,2.73685557627703,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
1946,238.21858073503242,303.29555817155403,2.5901876574731886,1,1,255,0,0,51,51,0,255,0,100,100,0,0,255
