[camera]
# width=480
# height=640
width=720
height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 9600##115200 #921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T20:03:40.037Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
1125,,,,24,34,100,255,0,56,58,41,128,255
6589,324.39464805875537,746.2085180478673,2.0755855940460686,69,79,100,255,0,93,95,41,128,255
6747,325.17116228722386,748.4256390983712,2.1104584420511365,70,80,100,255,0,92,94,41,128,255
6945,335.0933177768669,749.4469112142423,2.127446794128555,71,81,100,255,0,92,94,41,128,255
7247,347.54349930827664,682.3656590474368,2.1905505072584726,72,82,100,255,0,91,93,41,128,255
7950,363.88073745241974,606.6797446219147,2.4191099880914733,79,89,100,255,0,88,90,41,128,255
8146,370.57445894825685,603.216366556546,2.528963417101359,82,92,100,255,0,86,88,41,128,255
8245,372.98504101769515,606.7628743551912,2.6566393719818024,85,95,100,255,0,84,86,41,128,255
8345,375.7242737942833,609.9987423811832,2.723641922103801,87,97,100,255,0,83,85,41,128,255
8445,377.79929481787036,613.6210549166683,2.7562366635613422,88,98,100,255,0,83,85,41,128,255
8545,377.23808956196325,615.8171386287326,2.80697760050243,89,99,100,255,0,82,84,41,128,255
8647,375.3605045106341,615.4786495839462,2.8360443846201533,90,100,100,255,0,82,84,41,128,255
8745,375.31767972042985,614.1250796384627,2.9326415752040176,92,102,100,255,0,80,82,41,128,255
8845,376.2511338047533,614.4120295831412,3.065489619590467,96,106,100,255,0,78,80,41,128,255
8945,378.47316248648156,615.6897253902279,3.1381100126127084,98,108,100,255,0,77,79,41,128,255
9045,378.9247447774788,615.9324834713889,-3.045021797978578,101,111,100,255,0,76,78,41,128,255
9145,380.5356377271522,615.8384839815303,-2.9450470729862177,103,113,100,255,0,75,77,41,128,255
9245,382.4532724468756,616.6672536811868,-2.88681351747986,105,115,100,255,0,74,76,41,128,255
9345,383.0722079868059,618.6114004058606,-2.8382527480202326,106,116,100,255,0,73,75,41,128,255
9445,382.7518498040496,620.198022837439,-2.7919685794202427,108,118,100,255,0,72,74,41,128,255
9555,382.5423027107586,622.9774453977425,-2.745888210848748,-4,6,100,255,0,72,74,41,128,255
9645,383.4461026990265,627.0601963273957,-2.6668399210947222,-2,8,100,255,0,71,73,41,128,255
9746,386.03814808837024,631.3856602121172,-2.584704056961816,0,10,100,255,0,69,71,41,128,255
9845,386.4120692216251,633.2647411712024,-2.483548079291367,3,13,100,255,0,68,70,41,128,255
9945,386.6531535511105,633.3090678722677,-2.430342760039673,4,14,100,255,0,67,69,41,128,255
10045,388.44124057942975,633.1616273726926,-2.3311463350177033,7,17,100,255,0,66,68,41,128,255
10146,388.745726435278,633.4873983953324,-2.196288549720782,11,21,100,255,0,64,66,41,128,255
10245,388.5428972754585,631.2616447334988,-2.1178584140698264,13,23,100,255,0,63,65,41,128,255
10345,388.7357397940168,627.2862745710944,-2.020201267961344,15,25,100,255,0,61,63,41,128,255
10445,389.08722558203567,624.9529807134136,-1.8800631283119678,19,29,100,255,0,59,61,41,128,255
10548,388.6566926951009,625.0278344546837,-1.7592170914996685,22,32,100,255,0,57,59,41,128,255
10645,385.7426548978078,627.8092690261982,-1.6504294929540388,25,35,100,255,0,56,58,41,128,255
10745,383.83397398560925,630.136817174119,-1.514477682606584,29,39,100,255,0,54,56,41,128,255
10845,382.12525685985867,631.5383944100327,-1.3642154623319522,33,43,100,255,0,52,54,41,128,255
10945,380.4055339200989,630.9144609488237,-1.131447913446463,39,49,100,255,0,48,50,41,128,255
11045,379.38317516435944,630.2193878420044,-0.9970978717507529,43,53,100,255,0,47,49,41,128,255
11145,378.5795233625911,630.5850343889028,-0.8951196614249619,46,56,100,255,0,45,47,41,128,255
11245,378.74799169133183,630.1683069090573,-0.7706282719054309,49,59,100,255,0,43,45,41,128,255
11345,379.08689004744247,630.0118600005284,-0.6088195325654869,53,63,100,255,0,41,43,41,128,255
11448,377.88113733854357,630.7168321340869,-0.41081964951072,59,69,100,255,0,38,40,41,128,255
11545,376.78769515810166,630.9092345977447,-0.27524711182110895,62,72,100,255,0,36,38,41,128,255
11645,375.7981663897865,630.3081228340145,-0.188769438931102,65,75,100,255,0,35,37,41,128,255
11746,374.336049593251,628.9458785147633,-0.060046891194328975,68,78,100,255,0,33,35,41,128,255
11845,375.53158290565705,627.7049755586627,0.1299471927007144,73,83,100,255,0,30,32,41,128,255
11946,377.8545126508013,627.4369010366315,0.3073988126092988,78,88,100,255,0,28,30,41,128,255
12045,378.6377728222345,627.6727455584337,0.550510668749502,85,95,100,255,0,24,26,41,128,255
12145,377.8000273574849,628.5585261677393,0.7735215074655516,91,101,100,255,0,21,23,41,128,255
12245,377.4354273050088,627.6632386537605,0.9975217393952709,97,107,100,255,0,18,20,41,128,255
12346,378.92451132227984,627.5399915673593,1.2234709692334764,103,113,100,255,0,15,17,41,128,255
12448,379.50378498440716,628.5620874652903,1.3467127545125859,106,116,100,255,0,13,15,41,128,255
12546,379.8800934547347,627.2978760825389,1.4371239327176524,-4,6,100,255,0,11,13,41,128,255
12646,380.45338757504067,626.6151770330167,1.5296946146892891,-2,8,100,255,0,10,12,41,128,255
12745,379.2252555985232,625.6963056706345,1.697997953440838,3,13,100,255,0,8,10,41,128,255
12847,381.9304157953111,620.2022616303424,1.7775395775998974,5,15,100,255,0,7,9,41,128,255
13045,383.1185712286801,623.1395456103864,1.7110820887520781,3,13,100,255,0,8,10,41,128,255
13145,382.38106962954265,625.1024989436426,1.6042951102351513,0,10,100,255,0,9,11,41,128,255
13245,381.04169648882475,625.7547393172733,1.4408606965812416,-4,6,100,255,0,11,13,41,128,255
13345,379.9847937111956,627.6489361339862,1.2777541478640824,104,114,100,255,0,14,16,41,128,255
13449,379.29691648987784,628.9948063890129,1.1229702319211576,100,110,100,255,0,16,18,41,128,255
13545,378.34753051224084,628.5596393762072,0.948057192428339,95,105,100,255,0,19,21,41,128,255
13646,375.66599095077993,631.3602558046765,0.8242446869005188,92,102,100,255,0,20,22,41,128,255
13745,373.63808562275096,632.9155056673459,0.7504718127765687,90,100,100,255,0,21,23,41,128,255
13845,371.32395215655623,635.0007186594162,0.676238273203583,88,98,100,255,0,22,24,41,128,255
13945,370.8949834712379,634.1074635665327,0.60980253040899,86,96,100,255,0,23,25,41,128,255
14045,370.913902363835,632.0246297732643,0.5788814578721261,85,95,100,255,0,24,26,41,128,255
14145,370.34965979251945,630.8680653596682,0.5164283966377236,84,94,100,255,0,25,27,41,128,255
14245,370.3576098780311,631.9424473311802,0.460041791380402,82,92,100,255,0,26,28,41,128,255
14345,371.35559653288476,632.855502908646,0.4038327648650454,81,91,100,255,0,26,28,41,128,255
14449,372.523421736307,633.8272838860377,0.3263054370209768,79,89,100,255,0,27,29,41,128,255
14545,372.78870606819544,633.2447703080401,0.21608953080705173,76,86,100,255,0,29,31,41,128,255
14645,373.76227748706924,632.389195820507,0.12199727690396933,73,83,100,255,0,30,32,41,128,255
14745,375.3933626405081,631.6248100505351,0.008139781173426825,70,80,100,255,0,32,34,41,128,255
14845,375.3197140112626,630.6311687886234,-0.07571222640071326,68,78,100,255,0,33,35,41,128,255
14946,374.5590106044573,630.8579760702463,-0.16747716388989817,65,75,100,255,0,35,37,41,128,255
15045,375.7705430842626,632.5873918349329,-0.28881815086715984,62,72,100,255,0,36,38,41,128,255
15146,379.9302020743029,633.1862996609862,-0.37340775519942204,60,70,100,255,0,38,40,41,128,255
15245,382.37264813198334,633.154226968599,-0.4722849922688465,57,67,100,255,0,39,41,41,128,255
15346,381.6385942638641,634.0772102769329,-0.5748636130036817,54,64,100,255,0,40,42,41,128,255
15448,379.7699317066646,634.6721221271968,-0.6560016808266391,52,62,100,255,0,42,44,41,128,255
15545,379.80403343527496,634.1798780051181,-0.7529981594553348,50,60,100,255,0,43,45,41,128,255
15646,379.4547515041427,632.892095930999,-0.8731039922065541,46,56,100,255,0,45,47,41,128,255
15746,377.2269370149477,632.9427351927891,-0.947630386179077,44,54,100,255,0,46,48,41,128,255
15846,375.99208126341216,633.1478576758385,-1.0563003028060927,41,51,100,255,0,47,49,41,128,255
15946,374.84074859802786,634.3876935559728,-1.2556000328355683,36,46,100,255,0,50,52,41,128,255
16045,374.8950059900013,633.9150661664386,-1.3553681558927837,33,43,100,255,0,52,54,41,128,255
16145,373.82037891837757,634.5755928420208,-1.4479790923340938,31,41,100,255,0,53,55,41,128,255
16245,372.6424861270925,635.9039386835873,-1.4711540112308772,30,40,100,255,0,53,55,41,128,255
16345,372.2332527471589,638.179347933076,-1.447744947551924,31,41,100,255,0,53,55,41,128,255
16449,374.49898357246843,637.0544611931161,-1.4178822872516204,32,42,100,255,0,53,55,41,128,255
16545,380.02016620837315,635.5815048029089,-1.3798292288454583,33,43,100,255,0,52,54,41,128,255
17231,379.42744314478193,634.7678724186783,-1.3931322215390263,32,42,100,255,0,52,54,41,128,255
17565,378.2136597169907,640.1231967149554,-1.431240905908676,31,41,100,255,0,53,55,41,128,255
17650,379.2043311400507,642.62343251853,-1.4157738329412055,32,42,100,255,0,53,55,41,128,255
17745,379.2515843929487,643.5283627309154,-1.4227623843295807,31,41,100,255,0,53,55,41,128,255
17845,376.3926977239982,645.6489909948089,-1.4188177694374393,32,42,100,255,0,53,55,41,128,255
18046,371.348395080684,649.1010784728509,-1.4272943256376827,31,41,100,255,0,53,55,41,128,255
