[camera]
# width=480
# height=640
width=720
height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T21:30:36.116Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
46,,,,24,34,100,255,0,56,58,41,128,255
3310,417.70682589109975,508.4341394797037,-0.8593184839351079,69,79,100,255,0,93,95,41,128,255
3368,420.305981561851,516.8463287967159,-0.714387387149188,73,83,100,255,0,91,93,41,128,255
3468,424.4071851743538,520.8508717821287,-0.6201655496314922,75,85,100,255,0,90,92,41,128,255
3568,420.7068216946051,514.2869944011553,-0.6095449908726099,75,85,100,255,0,89,91,41,128,255
3668,419.9860982708616,511.7486827903541,-0.6198818046351785,75,85,100,255,0,90,92,41,128,255
3967,428.95004389892154,511.775597360801,-0.6112781338013101,75,85,100,255,0,89,91,41,128,255
4067,426.57573633845465,514.8643108401578,-0.5984540137073463,76,86,100,255,0,89,91,41,128,255
4370,415.99239023132156,523.4294625399599,-0.5641076178896987,77,87,100,255,0,89,91,41,128,255
4469,414.12263786662186,523.0759766303621,-0.540889926996339,77,87,100,255,0,88,90,41,128,255
4569,414.72576616451147,520.2810464480984,-0.5020336844643164,78,88,100,255,0,88,90,41,128,255
4669,418.87310799979844,519.6403492295751,-0.39203001346879296,81,91,100,255,0,86,88,41,128,255
4768,423.54007962549724,523.7647701081601,-0.20682551519880565,86,96,100,255,0,84,86,41,128,255
4867,423.9584496664743,526.1935374939576,-0.04281079253925931,91,101,100,255,0,81,83,41,128,255
4968,429.0940747098797,527.9430457644462,0.21509622598274214,98,108,100,255,0,78,80,41,128,255
5067,430.0455268636971,531.7496400261286,0.5160384758826198,106,116,100,255,0,73,75,41,128,255
5272,440.7800345603023,532.179223685293,1.2042994515532814,11,21,100,255,0,63,65,41,128,255
5369,441.2776923903064,530.5287485429112,1.4458448430354662,18,28,100,255,0,60,62,41,128,255
5467,444.9245706416046,532.5408321628789,1.7373985012113422,26,36,100,255,0,56,58,41,128,255
5568,444.9170073413645,532.8521945534128,1.820057799616595,28,38,100,255,0,55,57,41,128,255
5668,443.9179038799286,533.9584349327525,2.0267707035372595,34,44,100,255,0,52,54,41,128,255
5768,441.5303763059733,533.8700395363352,2.2834529216798414,40,50,100,255,0,48,50,41,128,255
5867,440.30967331748843,532.6962233697807,2.469512733191724,45,55,100,255,0,45,47,41,128,255
5968,444.7157640494738,532.6871724582879,2.580844529322712,48,58,100,255,0,44,46,41,128,255
6067,441.8263225534524,530.4851097049125,2.637246357894525,50,60,100,255,0,43,45,41,128,255
6168,440.94443728286376,527.0368380112141,2.5641187561000964,48,58,100,255,0,44,46,41,128,255
6470,409.6213015688928,520.5419646169629,-0.8232505002310161,13,23,100,255,0,2,4,41,128,255
6569,418.92952460992933,513.3325769393998,-0.7188548314210761,16,26,100,255,0,1,3,41,128,255
6968,426.40647970028965,510.75395568014676,-0.6756129740172734,17,27,100,255,0,0,2,41,128,255
7270,450.0184914547516,527.6767362720188,1.1031561745927758,65,75,100,255,0,87,89,41,128,255
7368,452.1875410771422,529.4286814820721,1.50138367277579,76,86,100,255,0,82,84,41,128,255
7467,453.0822673543058,530.2467435128932,1.7010068614470177,81,91,100,255,0,79,81,41,128,255
7568,456.40622649356106,532.3571531454578,2.0287219818868327,90,100,100,255,0,74,76,41,128,255
7668,457.7178934486284,532.5907365695429,2.2965420477673115,97,107,100,255,0,70,72,41,128,255
7768,455.40184873517234,529.9987156948193,2.3570637657736997,99,109,100,255,0,69,71,41,128,255
7867,456.8750401783264,528.6250183004722,2.4011585215234845,100,110,100,255,0,69,71,41,128,255
7967,456.98297066269964,526.2876622105209,2.4569509952565607,102,112,100,255,0,68,70,41,128,255
8369,451.26422096321573,508.4240502143402,0.8351203045901145,58,68,100,255,0,91,93,41,128,255
8467,452.7634695534041,504.376078629126,0.4746245823753733,48,58,100,255,0,96,98,41,128,255
8567,453.65307314098396,500.18517635378436,0.16357069074474248,40,50,100,255,0,101,103,41,128,255
8667,454.46225781983367,500.15371023408557,0.07681977879908386,37,47,100,255,0,102,104,41,128,255
8768,452.63719829459114,499.32898999912993,-0.0234153228930005,35,45,100,255,0,104,106,41,128,255
8867,452.8965381720126,500.3461763242661,-0.06034167346797102,34,44,100,255,0,104,106,41,128,255
9068,453.45876953257743,499.37470074924687,-0.11248700328576834,32,42,100,255,0,105,107,41,128,255
9173,452.5142817369151,498.44002212949556,-0.2405733956735552,29,39,100,255,0,107,109,41,128,255
9267,452.87371363111396,499.4878138356801,-0.32564485168640234,27,37,100,255,0,108,110,41,128,255
9468,457.2756362841165,498.2573022940229,-0.13234050537548836,32,42,100,255,0,105,107,41,128,255
9566,460.75955626964424,498.55474802787285,0.02265473148940987,36,46,100,255,0,103,105,41,128,255
9667,463.46056496634367,501.4462247921675,0.2737027171737816,43,53,100,255,0,99,101,41,128,255
9767,465.58666617962444,506.2441960239451,0.5899479171250892,51,61,100,255,0,95,97,41,128,255
9867,465.54135194058944,508.1952234235829,0.7874103435325165,57,67,100,255,0,92,94,41,128,255
9967,467.2582872329075,514.4999179298023,1.166411723685215,67,77,100,255,0,87,89,41,128,255
10067,467.0185703887695,516.0447175671186,1.333140100736488,71,81,100,255,0,84,86,41,128,255
10168,465.57954259656503,519.9827129753439,1.5953785771661102,78,88,100,255,0,80,82,41,128,255
10263,465.8937478896995,521.113731432263,1.7526813138702255,83,93,100,255,0,78,80,41,128,255
10364,466.5419235059402,523.2760466574427,1.8551204649541808,85,95,100,255,0,77,79,41,128,255
10465,466.582928952934,523.5653888721156,1.9398303186114472,88,98,100,255,0,75,77,41,128,255
10566,465.7586469616094,524.0008326373442,2.0145576068703948,90,100,100,255,0,74,76,41,128,255
10666,462.6186097797855,524.809945191353,2.0607606397516562,91,101,100,255,0,74,76,41,128,255
10764,459.13908666755736,524.7470652245493,2.0297147718600272,90,100,100,255,0,74,76,41,128,255
10865,456.607269796521,525.5258515482137,1.949151375915609,88,98,100,255,0,75,77,41,128,255
10963,456.48778439564364,524.2461701463853,1.6524164921604128,80,90,100,255,0,80,82,41,128,255
11169,431.8573791249154,501.3653107439908,-0.248871607976514,29,39,100,255,0,107,109,41,128,255
11365,439.2452992627297,500.7083032414041,-0.19072330133845863,30,40,100,255,0,106,108,41,128,255
11565,442.87273961865844,497.72970422256753,-0.1597344861255423,31,41,100,255,0,106,108,41,128,255
11864,445.47741635626795,493.7734927685261,0.019986305437274723,36,46,100,255,0,103,105,41,128,255
11966,446.98234263026507,496.40502707830774,0.20266421187643333,41,51,100,255,0,100,102,41,128,255
12064,449.5673472760758,498.05691648066187,0.359223937534661,45,55,100,255,0,98,100,41,128,255
12168,452.1574567093026,497.9413782321394,0.4725668638639704,48,58,100,255,0,97,99,41,128,255
12264,454.83187206665013,498.6864540966866,0.5998508185103011,52,62,100,255,0,95,97,41,128,255
12366,457.73824565577354,499.584726212365,0.8029580327048148,57,67,100,255,0,92,94,41,128,255
12464,457.3870002353533,500.9064791281776,0.8663788387075185,59,69,100,255,0,91,93,41,128,255
12565,457.49610115775533,505.0767681964844,1.058486259406509,64,74,100,255,0,88,90,41,128,255
12664,459.3676257234774,509.19985495104197,1.261949484189334,69,79,100,255,0,85,87,41,128,255
12764,459.53462828073964,514.7756869001475,1.4319376339709267,74,84,100,255,0,83,85,41,128,255
12863,460.7016679831177,516.4443097682001,1.5351165622595948,77,87,100,255,0,81,83,41,128,255
13179,463.9482363170647,512.8178849003076,1.5190411366865253,76,86,100,255,0,81,83,41,128,255
13264,463.9610732142953,510.0084339878284,1.4782409400026288,75,85,100,255,0,82,84,41,128,255
13365,463.9998208329715,505.98641305151443,1.2606753746114385,69,79,100,255,0,85,87,41,128,255
13469,465.73895275504407,506.3979932976444,1.1692166320710369,67,77,100,255,0,86,88,41,128,255
13563,463.6294559065883,505.083336274462,0.989233091144693,62,72,100,255,0,89,91,41,128,255
13666,460.2441880073819,504.76669513711533,0.8088406436182349,57,67,100,255,0,92,94,41,128,255
13764,456.3018102046648,503.4537245252677,0.6452881208822328,53,63,100,255,0,94,96,41,128,255
13866,452.4024958854477,500.81034866605273,0.4144906534466651,47,57,100,255,0,97,99,41,128,255
13964,447.6034497632295,497.11817185882865,0.1524307114251616,39,49,100,255,0,101,103,41,128,255
14066,445.20614515594013,495.8186257011933,-0.041690014433485356,34,44,100,255,0,104,106,41,128,255
14164,445.2448540276913,495.6359719301902,-0.25963912043207166,28,38,100,255,0,107,109,41,128,255
14274,441.42732305853906,493.5616692966067,-0.5402803521600058,21,31,100,255,0,111,113,41,128,255
14364,440.49749976979274,493.50311349820214,-0.6777325593920411,17,27,100,255,0,0,2,41,128,255
14464,441.14459009381676,496.28200864620646,-0.6463820279524635,18,28,100,255,0,0,2,41,128,255
14566,442.28117167318266,499.20556853502706,-0.5894236817605595,19,29,100,255,0,112,114,41,128,255
14664,443.9231453264566,501.0966007334123,-0.40225166146538416,25,35,100,255,0,109,111,41,128,255
14766,451.4846338748184,507.48270794720816,0.06858668434819211,37,47,100,255,0,102,104,41,128,255
14967,460.5806320627488,518.4158121730503,0.9357000511461896,61,71,100,255,0,90,92,41,128,255
15064,462.64942195799256,521.2650554567347,1.2329653543311747,69,79,100,255,0,86,88,41,128,255
15163,458.54316053431137,524.109967078599,1.5020439262707848,76,86,100,255,0,82,84,41,128,255
15265,458.38399779693174,525.0886112249076,1.6287466158164514,79,89,100,255,0,80,82,41,128,255
15365,455.2730798389291,527.2011443379697,1.8184258814445498,84,94,100,255,0,77,79,41,128,255
15463,456.3952820985786,529.1056145661454,1.980331863221902,89,99,100,255,0,75,77,41,128,255
15664,462.7409765727167,526.172530906557,1.9149540917183294,87,97,100,255,0,76,78,41,128,255
15765,466.95846943875915,522.0515944348127,1.5913200474655735,78,88,100,255,0,80,82,41,128,255
15863,470.172366226177,516.210116114901,1.2059260171703439,68,78,100,255,0,86,88,41,128,255
16064,463.41961470900293,499.86255315176516,0.27942828896120153,43,53,100,255,0,99,101,41,128,255
16166,458.32929578943083,497.38991507834896,-0.027802913954165915,35,45,100,255,0,104,106,41,128,255
16264,456.9040624551981,498.0397487116781,-0.14943251728154427,31,41,100,255,0,105,107,41,128,255
16368,455.2248319882327,496.31279304203764,-0.31268968144822146,27,37,100,255,0,108,110,41,128,255
16466,455.8712036240843,496.3882281544412,-0.4076281970595517,24,34,100,255,0,109,111,41,128,255
16865,472.60733942431705,515.5815589582578,1.371737019468024,72,82,100,255,0,84,86,41,128,255
16967,471.18746265704704,517.6311096206314,1.6934833508068357,81,91,100,255,0,79,81,41,128,255
17064,470.4206587791637,518.2936019309805,1.816202033009597,84,94,100,255,0,77,79,41,128,255
17165,469.75690276884893,518.719206874715,1.9222025903854836,87,97,100,255,0,76,78,41,128,255
17265,469.2409530006733,519.5859820626242,1.9795441196051138,89,99,100,255,0,75,77,41,128,255
17767,448.0029086639127,499.4610790033312,-0.06120189274251922,34,44,100,255,0,104,106,41,128,255
17865,444.403221291591,499.9061023595929,-0.19821414415576646,30,40,100,255,0,106,108,41,128,255
17967,441.26066514341903,499.9379588485049,-0.3926699513407625,25,35,100,255,0,109,111,41,128,255
18166,442.2161978110162,500.83793579089956,-0.3588289192460894,26,36,100,255,0,108,110,41,128,255
18267,441.26529985946144,499.8996299120944,-0.32378721003194955,27,37,100,255,0,108,110,41,128,255
18364,437.18185106667374,498.4815092750196,-0.43643138862350406,24,34,100,255,0,110,112,41,128,255
18466,425.89425698417904,495.4337009063281,-0.7589202827556351,15,25,100,255,0,1,3,41,128,255
18769,431.3012451933307,481.04346269017776,-1.5852140239444752,106,116,100,255,0,13,15,41,128,255
18866,427.66615127316817,479.81415051289423,-1.985931005307585,95,105,100,255,0,19,21,41,128,255
18965,426.60636714865984,481.46186808384186,-2.3883526387816043,84,94,100,255,0,25,27,41,128,255
19067,428.64318849541064,483.2052430350066,-2.4785703332613322,82,92,100,255,0,26,28,41,128,255
19165,433.8517937179882,485.11427889834795,-2.2812463622272343,87,97,100,255,0,23,25,41,128,255
19267,437.8172554287187,482.93844055806983,-2.1710071445525854,90,100,100,255,0,22,24,41,128,255
19367,438.38849552872307,483.0081988042034,-2.0623851184518016,93,103,100,255,0,20,22,41,128,255
19466,437.27186749299483,482.5423740303299,-1.8086992779089002,100,110,100,255,0,16,18,41,128,255
19613,437.390594271994,480.9802182305205,-1.7304957291705787,102,112,100,255,0,15,17,41,128,255
19964,444.4147215624372,490.01566860811647,-1.6154025744818794,105,115,100,255,0,14,16,41,128,255
20064,443.34431425206543,491.6049051717209,-1.3014892940786011,0,10,100,255,0,9,11,41,128,255
20164,446.43961154567853,489.79926117160227,-0.9869015888512944,9,19,100,255,0,5,7,41,128,255
20264,449.696513157589,489.8908045875917,-0.7369157245444712,15,25,100,255,0,1,3,41,128,255
20364,447.61819431060076,490.00738514559976,-0.6422176050592443,18,28,100,255,0,0,2,41,128,255
20464,446.2637900993317,493.2225367170072,-0.58724231998563,20,30,100,255,0,112,114,41,128,255
20564,447.8970948901248,497.5525000254872,-0.5448250005676656,21,31,100,255,0,111,113,41,128,255
20854,449.05769878244996,498.0853442995093,-0.5559193658864933,20,30,100,255,0,111,113,41,128,255
20871,441.46428130260426,497.76976718679464,-0.6766795075099618,17,27,100,255,0,0,2,41,128,255
21168,418.1832464071774,521.836545191128,-1.589626888549038,105,115,100,255,0,13,15,41,128,255
21266,411.3325172813952,517.7766566695253,-1.6835072372371338,103,113,100,255,0,15,17,41,128,255
21366,411.68529546729314,510.40617015267617,-1.724351316207213,102,112,100,255,0,15,17,41,128,255
