[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T14:26:29.047Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
502,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
601,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
700,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
798,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
900,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
999,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1098,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1200,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1301,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1399,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1501,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1599,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1701,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1801,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1904,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2004,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2105,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2205,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2303,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2424,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2478,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2580,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2700,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2799,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2900,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2997,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3098,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3198,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3298,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3399,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3499,344.9657686367486,672.6802849673211,-0.8255706144304668,79,89,2,2,32,32,63,63,93,93,72,72,103,103
3561,345.3735973920638,674.5276134318495,-0.9306851886760394,76,86,113,113,32,32,65,65,97,97,71,71,104,104
3662,344.6054717668039,673.930694452981,-1.290404330179838,63,73,106,106,32,32,71,71,110,110,68,68,107,107
3761,349.13937537051413,677.758088844208,-1.6415278634881696,50,60,100,100,32,32,78,78,10,10,65,65,110,110
3862,357.3831330391222,682.3842476214608,-1.7729264911332798,45,55,98,98,32,32,80,80,15,15,64,64,111,111
3961,362.32302359701987,684.2811491078493,-2.2150391586905407,29,39,90,90,32,32,88,88,30,30,60,60,2,2
4061,364.42493687885104,688.1685073085833,-2.5220715376831064,18,28,84,84,32,32,93,93,41,41,57,57,5,5
4161,365.8205795444396,691.7622463520561,-2.823105878707975,7,17,79,79,32,32,99,99,52,52,54,54,8,8
4261,366.2826065709038,693.6109945066333,-2.9071231018641397,4,14,77,77,32,32,100,100,55,55,53,53,8,8
4361,371.6405586874969,693.4379685356607,-2.267887981205358,27,37,89,89,32,32,89,89,32,32,59,59,3,3
4461,379.27082633712035,690.4847370832649,-1.2298189994154587,65,75,108,108,32,32,70,70,108,108,68,68,106,106
4561,381.170545701046,682.3829585382475,-0.9603700876397859,74,84,112,112,32,32,65,65,98,98,71,71,104,104
4661,384.25077137222615,674.0496194283917,-0.205210332441298,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4761,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4861,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4962,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5062,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5163,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5265,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5365,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5467,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5568,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5668,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5769,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5871,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5971,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6073,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6175,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6276,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6377,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6480,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6580,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6684,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6784,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6885,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
6986,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7086,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7189,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7309,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7388,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7489,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7591,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
7692,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
