[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-10T11:48:13.535Z

ms,x,y,θ,start1,stop1,start2,stop2
934,,,,24,34,56,58
934,,,,24,34,56,58
948,,,,24,34,56,58
957,,,,24,34,56,58
1014,,,,24,34,56,58
1116,,,,24,34,56,58
1216,,,,24,34,56,58
1338,,,,24,34,56,58
1440,,,,24,34,56,58
1538,,,,24,34,56,58
1638,,,,24,34,56,58
1804,,,,24,34,56,58
1850,,,,24,34,56,58
1917,,,,24,34,56,58
2036,,,,24,34,56,58
2135,,,,24,34,56,58
2237,,,,24,34,56,58
2336,,,,24,34,56,58
2478,,,,24,34,56,58
2534,,,,24,34,56,58
2614,,,,24,34,56,58
2715,,,,24,34,56,58
2814,,,,24,34,56,58
2939,,,,24,34,56,58
3036,,,,24,34,56,58
3171,,,,24,34,56,58
3239,,,,24,34,56,58
3314,,,,24,34,56,58
3416,,,,24,34,56,58
3538,,,,24,34,56,58
3637,,,,24,34,56,58
3737,,,,24,34,56,58
3838,,,,24,34,56,58
3985,,,,24,34,56,58
4033,,,,24,34,56,58
4134,,,,24,34,56,58
4234,,,,24,34,56,58
4334,,,,24,34,56,58
4435,,,,24,34,56,58
4534,,,,24,34,56,58
4635,,,,24,34,56,58
4735,,,,24,34,56,58
4837,,,,24,34,56,58
5037,,,,24,34,56,58
5060,,,,24,34,56,58
5111,,,,24,34,56,58
5215,,,,24,34,56,58
5314,,,,24,34,56,58
5448,,,,24,34,56,58
5534,,,,24,34,56,58
5634,,,,24,34,56,58
5736,,,,24,34,56,58
5834,,,,24,34,56,58
5935,,,,24,34,56,58
6035,,,,24,34,56,58
6134,,,,24,34,56,58
6258,,,,24,34,56,58
6336,,,,24,34,56,58
6436,,,,24,34,56,58
6535,,,,24,34,56,58
6633,,,,24,34,56,58
6752,,,,24,34,56,58
6834,,,,24,34,56,58
6933,,,,24,34,56,58
7033,,,,24,34,56,58
7134,,,,24,34,56,58
7236,,,,24,34,56,58
7336,,,,24,34,56,58
7436,,,,24,34,56,58
7534,,,,24,34,56,58
7636,,,,24,34,56,58
7770,,,,24,34,56,58
7812,,,,24,34,56,58
7913,,,,24,34,56,58
8056,,,,24,34,56,58
8135,,,,24,34,56,58
8235,,,,24,34,56,58
8336,,,,24,34,56,58
8437,,,,24,34,56,58
8534,,,,24,34,56,58
8655,,,,24,34,56,58
8735,,,,24,34,56,58
8834,,,,24,34,56,58
8935,,,,24,34,56,58
9037,,,,24,34,56,58
9136,,,,24,34,56,58
9253,,,,24,34,56,58
9336,,,,24,34,56,58
9456,,,,24,34,56,58
9536,,,,24,34,56,58
9659,,,,24,34,56,58
9735,,,,24,34,56,58
