[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-10T14:48:48.544Z

ms,x,y,θ,start1,stop1
510,,,,1,1
616,,,,1,1
714,,,,1,1
808,,,,1,1
912,,,,1,1
1011,,,,1,1
1111,,,,1,1
1211,,,,1,1
1311,,,,1,1
1411,,,,1,1
1538,,,,1,1
1630,,,,1,1
1730,,,,1,1
1833,,,,1,1
1932,,,,1,1
2035,,,,1,1
2129,,,,1,1
2230,,,,1,1
2335,,,,1,1
2433,,,,1,1
2539,,,,1,1
2634,,,,1,1
2734,,,,1,1
2828,,,,1,1
2929,,,,1,1
