[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    azimuth = 0
    width = 1
    red = 255
    [[setup.suns]]
    link_factor = 0
    green = 255
    azimuth = 90
    width = 1
    [[setup.suns]]
    blue = 255
    link_factor = 0
    azimuth = 180
    width = 1

[experiment]
datetime = 2023-12-11T12:28:05.171Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3
567,,,,1,1,29,29,57,57
669,,,,1,1,29,29,57,57
770,,,,1,1,29,29,57,57
869,,,,1,1,29,29,57,57
963,,,,1,1,29,29,57,57
1066,,,,1,1,29,29,57,57
1171,,,,1,1,29,29,57,57
1263,,,,1,1,29,29,57,57
1365,,,,1,1,29,29,57,57
1463,,,,1,1,29,29,57,57
1550,,,,1,1,29,29,57,57
1643,,,,1,1,29,29,57,57
1743,,,,1,1,29,29,57,57
1844,,,,1,1,29,29,57,57
1942,,,,1,1,29,29,57,57
2044,,,,1,1,29,29,57,57
2148,,,,1,1,29,29,57,57
2248,,,,1,1,29,29,57,57
2342,,,,1,1,29,29,57,57
2466,,,,1,1,29,29,57,57
2565,,,,1,1,29,29,57,57
2664,,,,1,1,29,29,57,57
2763,,,,1,1,29,29,57,57
2862,,,,1,1,29,29,57,57
2957,,,,1,1,29,29,57,57
3057,,,,1,1,29,29,57,57
3160,,,,1,1,29,29,57,57
3256,,,,1,1,29,29,57,57
3343,,,,1,1,29,29,57,57
3442,,,,1,1,29,29,57,57
3543,400.73643616750263,636.051952145832,-0.5370404147996612,1,1,29,29,57,57
3624,403.08558014170274,637.103881958677,0.18946850975226903,1,1,29,29,57,57
3724,408.3648792914019,634.300653409224,0.669697240193049,1,1,29,29,57,57
3825,,,,1,1,29,29,57,57
3924,,,,1,1,29,29,57,57
4025,415.15443105182374,645.3981922493623,2.3027321823417224,1,1,29,29,57,57
4124,417.4107900315066,644.568732022981,2.604843048815141,1,1,29,29,57,57
4225,419.2494873640497,642.3336733213781,2.741642399439729,1,1,29,29,57,57
4325,,,,1,1,29,29,57,57
4425,424.0056219904357,638.5707429208763,1.790204461727344,1,1,29,29,57,57
4524,,,,1,1,29,29,57,57
4624,426.7284388595149,637.2654702290542,0.5946802987828227,1,1,29,29,57,57
4725,,,,1,1,29,29,57,57
4825,419.76304849427373,630.8124947128217,-0.6238789266146169,1,1,29,29,57,57
4924,417.65576380639556,629.5362904052085,-1.193356446614275,1,1,29,29,57,57
5025,416.847908267159,630.6766555124548,-1.5014594101135823,1,1,29,29,57,57
5124,,,,1,1,29,29,57,57
5224,419.74143807651757,632.0280544971969,-1.115028875934346,1,1,29,29,57,57
5324,,,,1,1,29,29,57,57
5424,,,,1,1,29,29,57,57
5526,,,,1,1,29,29,57,57
5625,,,,1,1,29,29,57,57
5725,425.8660393770006,643.0846552705918,2.4940903688032927,1,1,29,29,57,57
5825,426.55558536457954,642.716409684972,2.9567377093075917,1,1,29,29,57,57
5925,426.9231496814483,642.5774605120449,3.0300160869617185,1,1,29,29,57,57
6024,,,,1,1,29,29,57,57
6124,,,,1,1,29,29,57,57
6225,,,,1,1,29,29,57,57
6325,,,,1,1,29,29,57,57
6427,,,,1,1,29,29,57,57
6527,,,,1,1,29,29,57,57
6626,,,,1,1,29,29,57,57
6726,,,,1,1,29,29,57,57
6827,,,,1,1,29,29,57,57
6929,,,,1,1,29,29,57,57
7030,,,,1,1,29,29,57,57
7128,,,,1,1,29,29,57,57
7229,,,,1,1,29,29,57,57
7330,,,,1,1,29,29,57,57
7430,,,,1,1,29,29,57,57
7531,,,,1,1,29,29,57,57
7631,,,,1,1,29,29,57,57
7731,,,,1,1,29,29,57,57
7836,,,,1,1,29,29,57,57
7933,,,,1,1,29,29,57,57
8034,,,,1,1,29,29,57,57
8136,,,,1,1,29,29,57,57
8235,,,,1,1,29,29,57,57
8335,,,,1,1,29,29,57,57
8436,,,,1,1,29,29,57,57
8538,,,,1,1,29,29,57,57
8637,,,,1,1,29,29,57,57
8737,,,,1,1,29,29,57,57
8838,,,,1,1,29,29,57,57
8939,,,,1,1,29,29,57,57
9041,,,,1,1,29,29,57,57
