[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T11:10:44.380Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
48,248.17499275931795,294.6628983471404,2.1221944943018585,46,56,100,255,0,99,101,41,128,255
54,247.19750054477007,295.03916560610554,2.122240891728996,46,56,100,255,0,99,101,41,128,255
87,246.550420649954,295.20701571842,2.1200181564247256,45,55,100,255,0,99,101,41,128,255
122,246.3693352502318,294.67800041982616,2.1178096965062947,45,55,100,255,0,99,101,41,128,255
155,246.10160165807835,294.56682202463855,2.115559219644689,45,55,100,255,0,99,101,41,128,255
183,246.21714049674878,294.32077332077,2.1128030543939444,45,55,100,255,0,99,101,41,128,255
221,246.33254335448973,294.11259633134057,2.11123265155598,45,55,100,255,0,99,101,41,128,255
266,246.723590806383,293.93645768932555,2.110000161072909,45,55,100,255,0,99,101,41,128,255
286,247.03516441512062,293.67400982854787,2.109504484338654,45,55,100,255,0,99,101,41,128,255
322,246.97638088977757,293.5739774382296,2.107398882178998,45,55,100,255,0,99,101,41,128,255
354,246.85501047090747,293.5216917871352,2.10665821132274,45,55,100,255,0,99,101,41,128,255
386,246.71317733354792,293.06038301798094,2.090208839676109,44,54,100,255,0,100,102,41,128,255
422,246.52107489853466,292.77907574545327,2.096210065586453,44,54,100,255,0,100,102,41,128,255
454,245.86077043387712,293.11674946014296,2.105079158284574,45,55,100,255,0,99,101,41,128,255
486,244.70611945687875,294.5749381513507,2.148875755657679,47,57,100,255,0,98,100,41,128,255
522,244.08222056907223,296.7285719024366,2.2439350902398467,51,61,100,255,0,96,98,41,128,255
554,244.07263838921062,298.48444953786236,2.325079098675152,55,65,100,255,0,94,96,41,128,255
586,243.97834577405118,299.18430437349923,2.3673395672960047,57,67,100,255,0,93,95,41,128,255
623,243.88010136592277,299.61467661019316,2.402202489517651,59,69,100,255,0,92,94,41,128,255
654,243.58747598500162,300.0588755263389,2.4229028067607707,60,70,100,255,0,91,93,41,128,255
688,243.38427065113214,301.00704815655774,2.4477655647274275,61,71,100,255,0,91,93,41,128,255
722,243.14037005369585,302.13369115939884,2.5157562544603125,64,74,100,255,0,89,91,41,128,255
754,242.73177308007834,302.752743638527,2.554579356543309,66,76,100,255,0,88,90,41,128,255
786,242.16861730081027,303.22265792219724,2.597586996490217,68,78,100,255,0,87,89,41,128,255
822,242.09740339878945,303.5394398384761,2.6779383576467506,72,82,100,255,0,85,87,41,128,255
854,242.05136541328096,303.6459790409359,2.7777267967622836,76,86,100,255,0,82,84,41,128,255
886,241.3956015404552,303.31382711529807,2.8655521348025026,81,91,100,255,0,80,82,41,128,255
922,240.62018822630938,303.1543360682938,2.9458978707311263,84,94,100,255,0,78,80,41,128,255
954,239.86726832916318,303.0654115573197,3.0560278594979295,90,100,100,255,0,75,77,41,128,255
986,239.61427578214088,303.015725275643,-3.0822260771611014,96,106,100,255,0,72,74,41,128,255
1022,239.29063621904982,302.93173560600553,-2.9408092007244893,103,113,100,255,0,68,70,41,128,255
1055,239.19463363833995,302.1441100442987,-2.8478257208767204,108,118,100,255,0,66,68,41,128,255
1086,239.312393727175,301.74434417884004,-2.7613251633417404,112,122,100,255,0,64,66,41,128,255
1122,239.2582832016474,301.45678809112496,-2.6317646233644547,118,128,100,255,0,60,62,41,128,255
1154,239.2063729290112,301.416567124763,-2.492816332938652,124,134,100,255,0,57,59,41,128,255
1187,239.02869764767422,300.90616850644506,-2.398325582051182,129,139,100,255,0,55,57,41,128,255
1222,239.27708728714464,300.68167888572674,-2.339717141566792,132,142,100,255,0,53,55,41,128,255
1255,239.75475400021378,300.46372254089033,-2.2815922222825913,134,144,100,255,0,52,54,41,128,255
1286,240.0599848676617,300.1667369696788,-2.223910403585496,137,147,100,255,0,50,52,41,128,255
1322,240.32728358225265,300.0482403022999,-2.1725464846552023,139,149,100,255,0,49,51,41,128,255
1354,240.668286456433,299.9597285609382,-2.1110475935894732,142,152,100,255,0,47,49,41,128,255
1386,241.14200526726847,299.78775431236517,-2.0193955362930476,147,157,100,255,0,45,47,41,128,255
1423,240.9374146077975,299.3391189583011,-1.9362920613196002,151,161,100,255,0,43,45,41,128,255
1455,240.7732254407723,299.2689031198703,-1.8663552428189274,154,164,100,255,0,41,43,41,128,255
1486,240.55047653002438,299.5085783389268,-1.7992564185931417,157,167,100,255,0,39,41,41,128,255
1522,240.34977043424863,299.65178722785697,-1.7272256057789048,161,171,100,255,0,38,40,41,128,255
1554,239.9513806399456,299.96866309747116,-1.6377901363415488,165,175,100,255,0,35,37,41,128,255
1586,239.40859128712233,300.38276102848147,-1.5589836490491815,168,178,100,255,0,33,35,41,128,255
1623,239.51753775641285,300.9130773557707,-1.5153587164241293,171,181,100,255,0,32,34,41,128,255
1655,239.79728635245806,301.09289218094614,-1.5302108506170249,170,180,100,255,0,33,35,41,128,255
1687,239.82361435390263,301.710754994531,-1.541433392076153,169,179,100,255,0,33,35,41,128,255
1723,240.08729579551294,302.0702610140562,-1.5688627306991856,168,178,100,255,0,34,36,41,128,255
1755,240.4081895838607,301.82702647929125,-1.6093746813122503,166,176,100,255,0,35,37,41,128,255
1786,240.1085382452693,301.55041831430015,-1.694571908372484,162,172,100,255,0,37,39,41,128,255
1822,239.8861126762108,302.14176050535985,-1.8500389896949063,155,165,100,255,0,41,43,41,128,255
1855,239.55660499673775,302.86086182727496,-1.940085690028272,150,160,100,255,0,43,45,41,128,255
1886,239.45287529115478,303.17164065000907,-2.019440554235675,147,157,100,255,0,45,47,41,128,255
1923,239.5517197983062,303.15324659664816,-2.1149675934880796,142,152,100,255,0,47,49,41,128,255
1955,238.62130770214722,302.72424022084715,-2.212807650132376,138,148,100,255,0,50,52,41,128,255
1986,238.12065424300084,303.1082253787956,-2.2756205110386105,135,145,100,255,0,51,53,41,128,255
2022,238.31259615062325,303.15627203900567,-2.3559938616229075,131,141,100,255,0,53,55,41,128,255
2054,238.2956414494756,303.27573848997747,-2.429380685391465,127,137,100,255,0,55,57,41,128,255
2086,238.52620510140278,303.5992746440843,-2.5457823621041236,122,132,100,255,0,58,60,41,128,255
2118,237.975554346802,304.1039653986861,-2.651423280032988,117,127,100,255,0,61,63,41,128,255
2154,237.62746051184502,304.74765719117295,-2.7181799897856393,114,124,100,255,0,63,65,41,128,255
2187,237.65594315277542,305.1655207547342,-2.7635207554489836,112,122,100,255,0,64,66,41,128,255
2218,237.3041845028233,305.34018305591826,-2.8315799392139036,108,118,100,255,0,65,67,41,128,255
2254,236.30513786801498,305.28027696620063,-2.929259231764173,104,114,100,255,0,68,70,41,128,255
2286,235.56835680708718,305.4089995439436,-3.0202241750038987,99,109,100,255,0,70,72,41,128,255
2318,235.47545801542228,305.50238213721383,-3.1008522152093505,96,106,100,255,0,72,74,41,128,255
2354,235.61205184210394,306.00442774611656,3.0882871034900177,91,101,100,255,0,75,77,41,128,255
2386,235.39122119177617,306.4424579302462,2.9810408601754754,86,96,100,255,0,77,79,41,128,255
2418,235.2881097603099,307.0268725473743,2.89889753792692,82,92,100,255,0,79,81,41,128,255
2454,235.59632607888727,306.7035101696116,2.79976602495194,78,88,100,255,0,82,84,41,128,255
2486,235.97176301723655,306.48940334468614,2.7099241942358354,73,83,100,255,0,84,86,41,128,255
2518,236.67191529224655,306.5938867611753,2.6232310539346537,69,79,100,255,0,86,88,41,128,255
2554,237.63166015334127,307.00046875503466,2.5397488813547238,65,75,100,255,0,88,90,41,128,255
2586,238.42552537669724,307.4434458747803,2.4513239919371737,61,71,100,255,0,91,93,41,128,255
2618,238.69124576611893,307.5645908274692,2.353719937714041,56,66,100,255,0,93,95,41,128,255
2654,238.68546119742197,307.6704425398915,2.253150966410062,52,62,100,255,0,96,98,41,128,255
