[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 9600##115200 #921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T11:17:11.318Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
30,,,,46,56,100,255,0,99,101,41,128,255
8390,281.16232006159095,334.14313314840234,-1.6407583643954717,166,176,100,255,0,140,142,41,128,255
9866,281.8697281451278,342.7054697107072,-1.488512236370896,173,183,100,255,0,137,139,41,128,255
13162,271.46309138570916,339.77248234501053,-0.056592567401190154,43,53,100,255,0,100,102,41,128,255
13356,271.77269455810546,341.988954374453,-0.03287470395216208,44,54,100,255,0,100,102,41,128,255
14230,265.6099235842153,337.2591505769617,-0.613356764874558,17,27,100,255,0,114,116,41,128,255
14629,262.22762715019377,329.23455969291075,-0.9997910012056723,-2,8,100,255,0,124,126,41,128,255
14786,260.6577761426479,327.8065614491187,-1.115203260729394,191,201,100,255,0,127,129,41,128,255
14819,260.547722477136,327.73879231793654,-1.1374694190849715,190,200,100,255,0,128,130,41,128,255
14921,260.0909680664729,326.5915970147605,-1.1719656520990336,188,198,100,255,0,129,131,41,128,255
15021,259.4087155551237,323.7710132592388,-1.282508664708574,183,193,100,255,0,131,133,41,128,255
15086,258.8738921921756,322.1663573774474,-1.3593619459202066,179,189,100,255,0,133,135,41,128,255
15153,258.4818958953839,321.1712413612927,-1.3638588790288817,179,189,100,255,0,133,135,41,128,255
15221,258.83558055798267,319.79824118323745,-1.476104311219918,174,184,100,255,0,136,138,41,128,255
15387,261.54793303735585,321.1937832416843,-1.6894833349547649,164,174,100,255,0,142,144,41,128,255
15452,262.33574428215576,322.9679696624919,-1.4623111082291276,174,184,100,255,0,136,138,41,128,255
15485,262.5926825655124,323.37536364316065,-1.2382019910929822,185,195,100,255,0,130,132,41,128,255
15585,263.7619790474154,321.96708503416494,-0.6832254777606492,13,23,100,255,0,116,118,41,128,255
15653,264.079935915358,321.1772396673684,-0.4078122780447246,26,36,100,255,0,109,111,41,128,255
15717,264.17442261505374,320.42337935711373,0.019751879134496983,46,56,100,255,0,99,101,41,128,255
15752,264.4439797739982,319.8590452234895,0.21035955448067062,55,65,100,255,0,94,96,41,128,255
16193,266.5949827134833,321.580997673822,1.1084463708983758,98,108,100,255,0,71,73,41,128,255
16356,265.4151153455962,321.44190816462753,0.41186118368013314,65,75,100,255,0,89,91,41,128,255
16418,264.46941803309727,321.5547290869582,0.2697410149363522,58,68,100,255,0,92,94,41,128,255
16485,264.04166366585787,320.3905343404262,0.04224307436309959,47,57,100,255,0,98,100,41,128,255
16516,264.03105610860734,320.13600006667093,-0.1699658809945115,37,47,100,255,0,103,105,41,128,255
16551,263.67465234451396,319.8900274481305,-0.3650861245950776,28,38,100,255,0,108,110,41,128,255
16585,263.36911707130275,319.9474159546192,-0.48616648767095766,23,33,100,255,0,111,113,41,128,255
16754,263.18304265106065,321.2949974036842,-1.0867182309106966,192,202,100,255,0,126,128,41,128,255
16817,262.7659472928343,321.57250327604396,-1.3632462939793015,179,189,100,255,0,133,135,41,128,255
16885,262.42708250892815,321.3598828835329,-1.56655502552432,169,179,100,255,0,138,140,41,128,255
16985,262.35408130846565,322.4344013453426,-1.8284023883654685,157,167,100,255,0,145,147,41,128,255
17053,262.0819217928378,322.215279258206,-1.9459856137014946,152,162,100,255,0,148,150,41,128,255
17218,262.4699116065277,321.7890518100934,-2.171287674897999,141,151,100,255,0,154,156,41,128,255
17253,262.47507799444656,321.15205807864214,-2.2342044620355104,138,148,100,255,0,155,157,41,128,255
