[camera]
# width=480
# height=640
width=720
height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 9600##115200 #921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T20:01:11.037Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
26,,,,24,34,100,255,0,56,58,41,128,255
3705,360.91220877153035,722.5904195751418,1.223304483590654,43,53,100,255,0,47,49,41,128,255
3764,358.1538587711424,716.9847368383907,1.1776141550080836,42,52,100,255,0,47,49,41,128,255
4064,350.6293674450165,710.7068110881562,1.2696402399996565,44,54,100,255,0,46,48,41,128,255
4265,348.46126506916903,724.9536975401413,1.8502373526577829,60,70,100,255,0,38,40,41,128,255
4364,351.85349378981016,728.7254966095126,2.0525995482249675,65,75,100,255,0,35,37,41,128,255
4567,367.2769511129773,740.3375567431983,2.5588479149692605,79,89,100,255,0,27,29,41,128,255
4664,371.45378955802596,737.9672587928228,2.685109171608625,82,92,100,255,0,25,27,41,128,255
4765,372.60459432578523,736.9922592871027,2.8916840196236175,88,98,100,255,0,23,25,41,128,255
4864,373.2669645521495,734.6451380985733,3.047406835788049,92,102,100,255,0,20,22,41,128,255
4964,374.16471794254625,731.0361583589425,3.13232485341001,94,104,100,255,0,19,21,41,128,255
5064,373.97959753675184,729.120143499024,-3.113485925452037,95,105,100,255,0,19,21,41,128,255
5166,374.3883954163057,727.5385897995765,-3.0446596278717766,97,107,100,255,0,18,20,41,128,255
5364,382.4469969363884,727.874668029949,-3.134188942129726,95,105,100,255,0,19,21,41,128,255
5464,380.3350491527312,733.1638496555049,3.037811126176978,92,102,100,255,0,20,22,41,128,255
5564,381.17246028142233,735.9260782716722,2.884148990022219,88,98,100,255,0,23,25,41,128,255
5664,388.75320234640924,737.6410602908454,2.6402987882605666,81,91,100,255,0,26,28,41,128,255
5764,391.40513473997277,739.6673099304173,2.372608131365453,74,84,100,255,0,30,32,41,128,255
5866,393.4115386090094,743.1386224566868,2.076601365248627,66,76,100,255,0,34,36,41,128,255
5965,395.6743838894723,745.5779225689632,1.8816093602658974,61,71,100,255,0,37,39,41,128,255
6065,397.66038358637434,744.8934430859467,1.5265284180782785,51,61,100,255,0,42,44,41,128,255
6164,395.6394362688075,747.3373194961556,1.2515641374637083,44,54,100,255,0,46,48,41,128,255
6264,395.6351360843403,748.6587958553768,1.0487013547907407,38,48,100,255,0,49,51,41,128,255
6365,395.9396663258975,751.0832437229484,0.8979115729852094,34,44,100,255,0,51,53,41,128,255
6467,398.01078894295097,752.003878293088,0.7776308577988305,31,41,100,255,0,53,55,41,128,255
6565,400.08545221437896,751.3999523271715,0.5650221656014341,25,35,100,255,0,56,58,41,128,255
6665,400.493173936767,752.251939876077,0.4402867313373436,22,32,100,255,0,58,60,41,128,255
6764,401.9883855303,752.2015540915608,0.3507521104858145,19,29,100,255,0,59,61,41,128,255
6865,402.68164250411667,752.5290218097779,0.2682627219194962,17,27,100,255,0,60,62,41,128,255
6965,405.48031986922274,749.7677195955035,0.22827363308192378,16,26,100,255,0,61,63,41,128,255
7064,407.09334413939916,751.7137668861783,0.2649761220713908,17,27,100,255,0,60,62,41,128,255
7167,404.856050280713,757.0540923154317,0.5213650938356336,24,34,100,255,0,57,59,41,128,255
7264,407.87676498151905,758.6254097744701,1.010973991511474,37,47,100,255,0,50,52,41,128,255
7365,412.73085591440565,753.0756856200704,1.2994602954581738,45,55,100,255,0,45,47,41,128,255
7465,418.4017396397518,747.6812264534309,1.5820239145656547,53,63,100,255,0,41,43,41,128,255
7564,416.575756059299,741.701487656625,2.0141123001109955,64,74,100,255,0,35,37,41,128,255
7664,415.3629684684871,739.774361323906,2.307936450172882,72,82,100,255,0,31,33,41,128,255
7767,419.6745460254824,737.7941501720614,2.5224626278594333,78,88,100,255,0,28,30,41,128,255
7865,418.33405161659743,739.6525126372333,2.7318425128483774,84,94,100,255,0,25,27,41,128,255
7964,417.61366189313685,737.2019797591149,2.845685364454357,87,97,100,255,0,23,25,41,128,255
8065,416.6472406482735,737.1843299239821,3.0668947826304995,93,103,100,255,0,20,22,41,128,255
8165,414.06478133787766,734.2174632989262,-3.025096437354567,98,108,100,255,0,17,19,41,128,255
8265,416.52301306368963,733.3275865759365,-2.8739491014938157,102,112,100,255,0,15,17,41,128,255
8365,415.4915683173409,732.7034598254872,-2.7316996167215937,106,116,100,255,0,13,15,41,128,255
8466,416.2123578264366,731.3028904588989,-2.6486400125910756,108,118,100,255,0,12,14,41,128,255
8565,415.5832046477202,734.8787049949884,-2.5964809943795544,-4,6,100,255,0,11,13,41,128,255
8664,416.1081653882666,748.0796811999828,-2.518654881301753,-1,9,100,255,0,10,12,41,128,255
8968,444.1045422249735,812.1193575283588,-2.1653047388163946,8,18,100,255,0,5,7,41,128,255
9065,445.917165625135,822.2567226150901,-2.2861616209236066,5,15,100,255,0,7,9,41,128,255
9172,443.73893984180535,837.9778843278815,-2.4996292144402728,-1,9,100,255,0,10,12,41,128,255
9265,450.7612723847004,860.3098922652841,-2.683131307244006,107,117,100,255,0,12,14,41,128,255
9365,465.15540101684167,871.3070290350378,-2.938543003473672,100,110,100,255,0,16,18,41,128,255
9465,467.2403409794356,875.7003981170126,-3.085791966030157,96,106,100,255,0,18,20,41,128,255
9565,467.1206480167246,876.6060591037475,3.0587207303691843,92,102,100,255,0,20,22,41,128,255
9664,468.2429583819205,871.2588713057065,2.8594481239515197,87,97,100,255,0,23,25,41,128,255
9765,472.52306816459037,864.6248739860393,2.5750558062413003,79,89,100,255,0,27,29,41,128,255
9871,472.62353621413934,859.6880501064468,2.4091306304393756,75,85,100,255,0,29,31,41,128,255
9964,471.0648190489547,858.5953039478575,2.267510826372766,71,81,100,255,0,32,34,41,128,255
10065,481.1200605545078,865.802982661841,1.93490412124714,62,72,100,255,0,36,38,41,128,255
10165,494.6100555904592,882.4961250021614,1.7856539006393766,58,68,100,255,0,38,40,41,128,255
10264,511.06915415854814,903.3827851457801,1.6858384048619743,55,65,100,255,0,40,42,41,128,255
10566,547.4733049413037,980.9170448151888,1.5274194330963715,51,61,100,255,0,42,44,41,128,255
10764,534.9731798680981,988.4624664544648,1.5518219958686648,52,62,100,255,0,42,44,41,128,255
10864,533.2345231811737,984.750995347133,1.6231223807503965,54,64,100,255,0,41,43,41,128,255
10964,531.7864833584064,980.0122722087938,1.7405307014156735,57,67,100,255,0,39,41,41,128,255
11064,524.3218341599556,971.7650522322872,1.8438549847769112,60,70,100,255,0,38,40,41,128,255
11166,517.3319569899076,964.3085105682447,1.9406653089672885,62,72,100,255,0,36,38,41,128,255
11264,515.3152400343716,962.2413955786781,2.0171136271063475,64,74,100,255,0,35,37,41,128,255
11364,520.6007502463931,960.7261517626143,2.047408122337713,65,75,100,255,0,35,37,41,128,255
11464,526.0891327306131,961.1176451580397,2.0839515178612134,66,76,100,255,0,34,36,41,128,255
11664,528.0714016753521,968.3492842851318,2.0568454894058745,65,75,100,255,0,35,37,41,128,255
11764,526.3866918488341,972.0765751623818,2.064732584527497,66,76,100,255,0,34,36,41,128,255
11964,521.0569660881227,967.7360784223158,2.0583988620327203,65,75,100,255,0,35,37,41,128,255
12064,522.1842486924788,959.1625353344028,2.06401854722532,66,76,100,255,0,34,36,41,128,255
